Date,TSLA_Close,TSLA_High,TSLA_Low,TSLA_Open,TSLA_Volume,AAPL_Close,AAPL_High,AAPL_Low,AAPL_Open,AAPL_Volume
2026-01-02,438.07000732421875,458.3399963378906,435.29998779296875,457.79998779296875,85535400,270.2743225097656,277.0857683126949,268.2697691424855,271.52092924369913,37838100
2026-01-05,451.6700134277344,457.54998779296875,444.57000732421875,447.989990234375,67940800,266.5345153808594,270.7729784841199,265.41756056202854,269.9053450243044,45647200
2026-01-06,432.9599914550781,448.25,428.7799987792969,446.3800048828125,89093800,261.6477966308594,266.82371056256306,261.40845786144683,266.27521573774703,52352100
2026-01-07,431.4100036621094,438.3699951171875,431.2900085449219,435.8999938964844,59828800,259.623291015625,262.964203143993,259.1047135716701,262.48552563718374,48309800
2026-01-08,435.79998779296875,436.8900146484375,424.3699951171875,427.8900146484375,57041100,258.33685302734375,258.5861744106298,255.00590778144198,256.32231677215987,50419300
2026-01-09,445.010009765625,449.04998779296875,430.3900146484375,435.95001220703125,67331500,258.6659240722656,259.5036402038468,255.52448097015204,258.3767027680543,39997000
2026-01-12,448.9599914550781,454.29998779296875,438.0,441.2300109863281,61649600,259.54351806640625,260.5906555331263,256.1028713590674,258.45648066308013,45263800
2026-01-13,447.20001220703125,451.80999755859375,443.95001220703125,450.20001220703125,53719200,260.3413391113281,261.0992857475004,257.6885867541948,258.0176775418968,45730800
2026-01-14,439.20001220703125,443.9100036621094,434.2200012207031,442.80999755859375,57259500,259.25433349609375,261.10930037675524,256.0131555781144,258.78560808748875,40019400
2026-01-15,438.57000732421875,445.3599853515625,437.6499938964844,441.1300048828125,49465800,257.5090637207031,260.3313985459844,256.35220896361545,259.9424426175537,39388600
2026-01-16,437.5,447.25,435.260009765625,439.5,60220600,254.8363494873047,258.1971965798445,254.23797213114116,257.1999111311508,72142800
2026-01-20,419.25,430.7300109863281,417.44000244140625,429.3599853515625,63187300,246.0303192138672,254.09835490933511,242.75922413209136,252.04394930256512,80267500
2026-01-21,431.44000244140625,438.20001220703125,419.6199951171875,421.6600036621094,68124000,246.97775268554688,250.8771427168815,244.51445623630568,248.02490552393743,54641700
2026-01-22,449.3599853515625,449.5,432.6300048828125,435.1600036621094,71546700,247.67584228515625,250.31864258405668,247.47637302553753,248.52352576906395,39708300
2026-01-23,449.05999755859375,452.42999267578125,444.0400085449219,447.42999267578125,56771400,247.36668395996094,248.7329754164565,244.01580413580567,246.6486524137701,41689000
2026-01-26,435.20001220703125,445.0400085449219,434.2799987792969,445.0,49397400,254.7166748046875,255.86354695988197,249.12190294519746,250.7973351598156,55969200
2026-01-27,430.8999938964844,437.5199890136719,430.69000244140625,437.4100036621094,37733100,257.5688781738281,261.23891141767155,257.50904348719195,258.4664593428383,49648300
2026-01-28,431.4599914550781,438.260009765625,430.1000061035156,431.9100036621094,54857400,255.74388122558594,258.1572949521919,253.81911240916085,256.9505880888889,41288000
2026-01-29,416.55999755859375,440.2300109863281,414.6199951171875,437.79998779296875,81686100,257.5788879394531,258.94516415300217,253.7193980705993,257.29964922744847,67253000
2026-01-30,430.4100036621094,439.8800048828125,422.70001220703125,425.3500061035156,82626100,258.775634765625,261.1890484668085,251.49543285360957,254.47732177254832,92443400
2026-02-02,421.80999755859375,427.1499938964844,414.5,421.2900085449219,58739500,269.2770690917969,269.7557466562268,258.50636737104884,259.3241487899344,73913400
2026-02-03,421.9599914550781,428.55999755859375,413.69000244140625,424.2699890136719,56886500,268.7485046386719,271.1419837262723,266.88355520832346,268.4692659190308,64394700
2026-02-04,406.010009765625,423.8999938964844,399.17999267578125,420.4599914550781,74606900,275.73944091796875,278.19278500760885,271.5508603406617,271.5508603406617,90545700
2026-02-05,397.2099914550781,402.1000061035156,387.5299987792969,397.0199890136719,72819800,275.1610107421875,278.7412615768201,272.48829324857786,277.3749854862336,52977400
2026-02-06,411.1099853515625,414.54998779296875,397.75,400.8699951171875,62677100,277.3650207519531,280.14745564173626,276.1782486476445,276.3677353153735,50453400
2026-02-09,417.32000732421875,421.25,407.2900085449219,409.9100036621094,54484300,274.13079833984375,277.70443813431814,271.2160169672847,277.41494619870406,44623400
2026-02-10,425.2099914550781,427.25,417.0,418.0799865722656,64450200,273.19244384765625,274.87943562430115,272.4537718732244,274.40031021957236,34376900
2026-02-11,428.2699890136719,436.3500061035156,420.0299987792969,427.9599914550781,57362000,275.00921630859375,279.6808719096702,273.9610989943363,274.2106536370846,51931300
2026-02-12,417.07000732421875,436.2300109863281,414.0,430.29998779296875,61933400,261.2637634277344,275.22883180172755,259.71650632997444,275.0990585104662,81077200
2026-02-13,417.44000244140625,424.05999755859375,410.8800048828125,414.30999755859375,51434100,255.32435607910156,261.7628783299504,254.9949421084194,261.5432690161623,56290700
2026-02-17,410.6300048828125,413.7200012207031,400.510009765625,412.3599853515625,59678800,263.4099426269531,265.8156532326085,255.08478749757862,257.5903108294174,58469100
2026-02-18,411.32000732421875,416.8999938964844,409.5799865722656,411.1099853515625,45921400,263.8791198730469,266.3447212846438,261.9825104325609,263.13045584681157,34203300
2026-02-19,411.7099914550781,415.25,404.1099853515625,407.25,51019600,260.11578369140625,264.00886051677537,259.5867290635135,262.13220471573277,30845300
2026-02-20,411.82000732421875,414.70001220703125,405.5,408.29998779296875,57912200,264.1086730957031,264.2783836675007,257.7001265171608,258.50868117461044,42070500
2026-02-23,399.8299865722656,407.70001220703125,394.0400085449219,407.2900085449219,69680000,265.705810546875,268.95002088588865,262.91081074777924,263.0206001676805,37308200
2026-02-24,409.3800048828125,410.82000732421875,397.6400146484375,399.5,58579500,271.6552429199219,274.4003442568012,267.233111068832,267.38283777638213,47014600
2026-02-25,417.3999938964844,420.3399963378906,412.1499938964844,412.1499938964844,54809700,273.74151611328125,274.45024283739696,270.567157599074,271.29586819299504,33714300
2026-02-26,408.5799865722656,416.80999755859375,403.6600036621094,414.4200134277344,53602500,272.4637756347656,275.61811956353745,270.31758130113775,274.4602128097023,32345100
2026-02-27,402.510009765625,407.1199951171875,398.1099853515625,402.94000244140625,56890100,263.70941162109375,272.3240439665745,262.4217314181026,272.3240439665745,72366500
2026-03-02,403.32000732421875,404.5400085449219,388.25,390.6000061035156,55088300,264.2484130859375,266.05518620599753,259.73647625260065,261.94253069595567,41827900
2026-03-03,392.42999267578125,396.3399963378906,385.3900146484375,395.0899963378906,62617300,263.2801818847656,265.08695529305965,259.6666350681776,263.0106738027697,38568900
2026-03-04,405.94000244140625,408.3299865722656,394.5799865722656,397.8500061035156,68305500,262.0523376464844,265.67587606267574,260.95432154975975,264.17854815272653,39803100
2026-03-05,405.54998779296875,408.6199951171875,399.4200134277344,401.57000732421875,51925900,259.8263244628906,261.09405110124777,256.79173142961054,260.3254337562426,49658600
2026-03-06,396.7300109863281,402.3500061035156,394.2099914550781,398.0899963378906,64054600,257.0013427734375,258.3090066542827,253.916851068475,258.16927189629365,41120000
2026-03-09,398.67999267578125,401.5899963378906,381.3999938964844,390.04998779296875,67018900,259.41705322265625,260.68477987096253,253.22808575123491,255.2345148744848,38218500
2026-03-10,399.239990234375,406.5899963378906,398.19000244140625,402.2200012207031,59258700,260.3653564453125,262.01244158439727,256.4922936817907,257.19102845716964,30590800
2026-03-11,407.82000732421875,416.3800048828125,402.1499938964844,402.2799987792969,62559900,260.34539794921875,261.6630538494394,259.08763272962494,260.624897946549,26218900
2026-03-12,395.010009765625,406.5,394.6499938964844,405.17999267578125,60973800,255.3043975830078,258.48873275942157,253.7272102811576,258.1992408199258,40794000
2026-03-13,391.20001220703125,400.20001220703125,389.95001220703125,399.1700134277344,58504100,249.6744384765625,255.87336762960538,249.07551643845036,255.024890934378,36930000
2026-03-16,395.55999755859375,403.7300109863281,394.4200134277344,396.2200012207031,58068300,252.36964416503906,253.43773019062647,249.4348789230203,251.66090222791988,32074200
2026-03-17,399.2699890136719,400.1199951171875,393.0,395.69000244140625,46890500,253.77711486816406,254.67552076289968,251.7307636559193,252.5093881906664,32361600
2026-03-18,392.7799987792969,403.07000732421875,392.30999755859375,399.0,50853100,249.49476623535156,254.48585937367065,248.55643828829037,252.1799767808244,35757900
2026-03-19,380.29998779296875,387.2699890136719,378.7300109863281,387.2699890136719,67078300,248.5165252685547,251.38140795985734,246.85947863088072,248.95572868612365,34864100
2026-03-20,367.9599914550781,379.8900146484375,364.4599914550781,379.8500061035156,78628600,247.54823303222656,248.75606899357115,245.56177255944445,247.53824109812177,88331100
2026-03-23,380.8500061035156,385.3299865722656,372.7300109863281,373.0899963378906,74606000,251.04200744628906,254.14646797882926,249.83415620831627,253.51758537106093,40546100
2026-03-24,383.0299987792969,387.4800109863281,376.30999755859375,376.55999755859375,60004900,251.1917266845703,254.37604644028636,249.10545347620703,249.90403139868116,45152300
2026-03-25,385.95001220703125,396.2300109863281,385.010009765625,389.989990234375,55157300,252.16998291015625,254.5457480998694,251.15181088451408,253.6473574345128,28476700
2026-03-26,372.1099853515625,384.44000244140625,371.8699951171875,381.6000061035156,55522900,252.43951416015625,256.5421934269488,250.32329549316128,251.67088153367666,41796700
2026-03-27,361.8299865722656,369.8599853515625,359.4700012207031,369.69000244140625,62065700,248.35679626464844,255.03488128462607,247.6281009352486,253.4477020992108,47900000
