Date,GOOGL_Close,GOOGL_High,GOOGL_Low,GOOGL_Open,GOOGL_Volume,MSFT_Close,MSFT_High,MSFT_Low,MSFT_Open,MSFT_Volume
2026-01-02,314.74029541015625,322.0807464242433,309.9265541489014,316.4880203907529,32009400,470.84320068359375,482.5112407273309,468.07552715971417,482.24244872265706,25571600
2026-01-05,316.1285095214844,318.60526603903236,314.2209888461081,317.2470486555906,30195600,470.7536315917969,473.9593569778809,467.4184776979013,471.95825856508776,25250300
2026-01-06,313.9313659667969,320.5227923064431,311.3746963103618,315.9886856047422,31212100,476.3885192871094,476.617480129593,467.6673473241013,471.69937935780575,23037700
2026-01-07,321.56146240234375,325.72602466406613,313.78158025326775,313.9513421990662,35104400,481.3265075683594,487.5288974221053,475.83099176167434,477.63296458601815,25564200
2026-01-08,325.0169372558594,329.8905982345552,321.08205673508803,328.54234711069296,31896100,475.9902648925781,480.5201105081445,473.7502403609407,479.10639276886474,18162600
2026-01-09,328.14288330078125,330.3999246926398,325.37646465172014,326.6647962522232,26214200,477.15509033203125,477.6927047258898,470.106493184136,471.9582322108041,18491000
2026-01-12,331.4285888671875,333.6057781716088,324.5775210522192,325.37646891287716,33923900,475.06439208984375,478.85749783991434,473.57104241242143,474.5566738594685,23519900
2026-01-13,335.5332336425781,340.04734658205444,333.18628259299794,334.5145706345901,33517600,468.5832824707031,473.6706125344443,463.88420753037366,472.57548334410274,28545800
2026-01-14,335.4034118652344,336.08252056576845,330.05039437456895,334.62442706687915,28525600,457.34332275390625,466.1242261748137,455.1431293963808,464.3919198839424,28184300
2026-01-15,332.347412109375,337.25103316994193,330.3100554080323,337.2110766328429,28442400,454.6353759765625,462.19172164087615,453.8787357567712,462.062293141988,23225800
2026-01-16,329.5710144042969,334.2149635116852,327.27401649506595,333.97528525413946,40341600,457.8211669921875,461.1364202404358,454.45617795729186,455.8001683410004,34246700
2026-01-20,321.5814208984375,327.30398324237245,320.01345448184367,320.4528849486331,35361000,452.5048828125,454.77477325819245,447.2881239806389,449.2195254560932,26130000
2026-01-21,327.953125,332.0478012719212,318.9348648307384,320.50283121296127,35386600,442.1410217285156,450.6829992738946,436.7351029497524,450.5934019351739,37980500
2026-01-22,330.11029052734375,334.7142826747097,328.3226090802118,334.0152109953496,26253600,449.1398620605469,450.8323067932568,442.7284117030413,445.6354487179439,25349400
2026-01-23,327.5036926269531,333.2562145369407,327.0243361197249,332.05776231305794,27280000,463.8841857910156,469.01134678020316,448.5325382185013,449.8665935761158,38000200
2026-01-26,332.8267822265625,335.4034148973675,326.5749102768944,327.3838548641184,26042100,468.19500732421875,472.1474075016215,459.9517180089597,463.2470406576191,29291200
2026-01-27,334.1150817871094,337.4707297257924,333.04649592160257,334.93402312381306,21636200,478.4493103027344,480.72916597612596,471.0622242712429,471.5998386603028,29213900
2026-01-28,335.57318115234375,337.10119086219134,331.5084650266126,335.6231039588608,27434400,479.49468994140625,481.59532063648624,475.8807787479093,481.06767161592717,36875400
2026-01-29,337.810302734375,341.8450595994438,326.11553330804276,339.857625711299,39785600,431.57806396484375,440.5381621786467,419.1533835040837,438.0392806211351,128855300
2026-01-30,337.56060791015625,339.5580079569619,331.8580393103398,339.5580079569619,31024000,428.38232421875,437.65104604221966,424.5593524472701,437.2229597325442,58566800
2026-02-02,343.2431945800781,344.38169669555197,335.193675272949,335.7829045969607,32006100,421.49298095703125,428.8303011436502,420.37795134689077,428.33251789753194,42219900
2026-02-03,339.26837158203125,348.5463032010534,337.0312933144156,346.8884575284791,36506700,409.3868713378906,420.178808008447,406.7486263222299,420.1390072256922,61424100
2026-02-04,332.6070861816406,342.8637251238478,328.0929422734009,342.51417399710857,70618400,412.3536682128906,417.9387813848693,407.4256021580933,409.1778088233149,45012400
2026-02-05,330.81939697265625,332.2575275064077,306.06161379445837,311.81413592946416,88205800,391.9246520996094,406.4897635323938,390.5806313349955,405.6335909812077,66289200
2026-02-06,322.4402770996094,329.95052083207565,319.50412705068965,326.75466854448496,56380500,399.3615417480469,400.0086538663787,391.17798428483076,397.4002746193236,53515300
2026-02-09,323.8984069824219,327.2740180221729,316.84758707958963,320.5127991892576,39640100,411.76629638671875,413.05058563481117,399.0927243377603,403.0550898097971,45480500
2026-02-10,318.16583251953125,321.25184233940706,314.2009923012897,320.5527401483992,39170000,411.437744140625,421.80159473973595,410.8702943432265,417.75959730190846,44857900
2026-02-11,310.55572509765625,320.6426005966259,309.25742736560915,318.5553213774315,45406400,402.57720947265625,414.61360447479314,399.23212070980424,414.3348470778888,42491000
2026-02-12,308.59832763671875,315.82890653132813,306.80067966689137,311.684307255737,47761300,400.05841064453125,404.3990960787573,396.24540458526855,403.20440420967,40802400
2026-02-13,305.32257080078125,308.2287915112591,303.31517401115394,307.32996759040856,38499700,399.5407409667969,403.7420326637702,396.2852191820681,402.65686886295305,34091600
2026-02-17,301.6273498535156,304.0442171582303,295.86486207725466,299.6499434457439,39247600,395.1004943847656,398.7442713079252,392.78083787972264,397.45004705087115,32078800
2026-02-18,302.9356689453125,304.983022308801,300.8583862777236,301.6972906518214,28482100,397.828369140625,400.77523739702553,394.5629123207548,396.3648852083561,23223400
2026-02-19,302.456298828125,305.0728879320441,299.64995428739604,301.42763905495286,25834400,397.5988464355469,403.55594539020564,395.8127368785549,399.82403795970674,28234000
2026-02-20,314.570556640625,316.0885697634931,303.5049428811186,303.9244103176242,53210800,396.37152099609375,399.2552593187824,394.3059873534157,395.2539159508346,34015200
2026-02-23,311.0850524902344,319.1046122516075,309.4671633706354,318.6352220336332,31423000,383.6390686035156,394.50551684604494,382.27203437696886,394.14630950985264,43238300
2026-02-24,310.495849609375,311.8640638461802,305.53230897934316,310.11633870149166,25615600,388.1593017578125,388.5185091169527,380.88504821898124,383.30981969967445,33884700
2026-02-25,312.4932556152344,313.23231441520727,309.03776179839537,311.65435118745364,29963600,399.7342224121094,400.60233728073825,389.31678308531696,389.68597856263057,43625500
2026-02-26,306.98040771484375,312.73292940852764,301.95694798569707,312.2335794136705,36431200,400.851806640625,406.6093255926281,397.8782360341113,403.8353349281015,34405900
